"","Incident.Date","State","City.Or.County","Address","X..Killed","X..Injured","Operations","date","week","location","long","lat"
"193","May 18, 2014","Ohio","Sandusky","1643 Cleveland Rd",0,7,"N/A",2014-05-18,20,"Sandusky ,   Ohio",-82.7079605,41.4489396
"194","May 17, 2014","California","Coachella","84000 block of Pedro Drive",1,3,"N/A",2014-05-17,20,"Coachella ,   California",-116.173894,33.6803003
"195","May 17, 2014","District of Columbia","Washington","2200 block of Adams Place NE",0,5,"N/A",2014-05-17,20,"Washington ,   District of Columbia",-77.0368707,38.9071923
"196","May 13, 2014","Georgia","Atlanta","Panther Trail and Childress Drive",0,5,"N/A",2014-05-13,19,"Atlanta ,   Georgia",-84.3879824,33.7489954
"197","May 12, 2014","Illinois","Chicago","3400 West 24th Street",0,4,"N/A",2014-05-12,19,"Chicago ,   Illinois",-87.6297982,41.8781136
"198","May 11, 2014","California","Sacramento","Peregrine Park",1,6,"N/A",2014-05-11,19,"Sacramento ,   California",-121.4943996,38.5815719
"199","May 11, 2014","Tennessee","Memphis","2517 Shasta",0,7,"N/A",2014-05-11,19,"Memphis ,   Tennessee",-90.0489801,35.1495343
"200","May 10, 2014","Georgia","Stone Mountain","1100 To Lani Farm Road",1,3,"N/A",2014-05-10,19,"Stone Mountain ,   Georgia",-84.170196,33.8081608
"201","May 10, 2014","Georgia","Decatur","Shamrock Drive ",2,3,"N/A",2014-05-10,19,"Decatur ,   Georgia",-84.2963123,33.7748275
"202","May 10, 2014","California","Sacramento","Natomas",1,6,"N/A",2014-05-10,19,"Sacramento ,   California",-121.4943996,38.5815719
"203","May 4, 2014","Colorado","Wheat Ridge","12100 W 44th",0,4,"N/A",2014-05-04,18,"Wheat Ridge ,   Colorado",-105.0772063,39.766098
"204","May 4, 2014","Illinois","Chicago","500 West Erie Street",1,3,"N/A",2014-05-04,18,"Chicago ,   Illinois",-87.6297982,41.8781136
"205","May 3, 2014","Arkansas","Jonesboro","2201 Moore Road; Dalton Farmer Drive; County Road 664",4,4,"N/A",2014-05-03,18,"Jonesboro ,   Arkansas",-90.704279,35.8422967
"206","April 30, 2014","Illinois","Chicago","7200 South Phillips Avenue",0,4,"N/A",2014-04-30,18,"Chicago ,   Illinois",-87.6297982,41.8781136
"207","April 29, 2014","Georgia","Kennesaw","1675 Airport Road",1,6,"N/A",2014-04-29,17,"Kennesaw ,   Georgia",-84.6154897,34.0234337
"208","April 27, 2014","New York","Troy","Fourth Street",0,5,"N/A",2014-04-27,17,"Troy ,   New York",-73.6917851,42.7284117
"209","April 25, 2014","Tennessee","Memphis","2000 Chelsea Avenue",2,3,"N/A",2014-04-25,17,"Memphis ,   Tennessee",-90.0489801,35.1495343
"210","April 22, 2014","California","Los Angeles","6419 Brynhurst Avenue",1,3,"N/A",2014-04-22,16,"Los Angeles ,   California",-118.2436849,34.0522342
"211","April 20, 2014","Illinois","Montgomery","1300 block of Jackson Street",0,6,"N/A",2014-04-20,16,"Montgomery ,   Illinois",-88.3459048,41.730585
